program_bundle,n_sources,pct
CAAMACT + CAANFRP + CAAOTH + CAASIP,4,0
CAAMACT + CAANSPS + CAAOTH + CAASIP,4,0
CAAMACT + CAANSPS + CAARMP + CAASIP,4,0
CAAMACT + CAANSR + CAATVP,4,0
CAANAM + CAANESH,4,0
CAANESH + CAANSPS,4,0
CAANESH + CAANSPS + CAANSR + CAASIP + CAATVP,4,0
CAANESH + CAAPSD + CAASIP + CAATVP,4,0
CAANFRP + CAANSPS + CAAOTH + CAASIP,4,0
CAANFRP + CAANSR + CAASIP,4,0
CAANSPS + CAANSR + CAAOTH + CAASIP,4,0
CAANSPS + CAANSR + CAAPSD,4,0
