PROGRAM_CODES,n,pct
"CAAMACT, CAAOTH, CAASIP, CAATVP",42,0
"CAAAR, CAAMACT, CAANESH, CAANSPS, CAANSR, CAASIP",41,0
"CAANSPS, CAAPARGDC, CAASIP",41,0
"CAAFESOP, CAAPSD, CAATVP",40,0
"CAAPARGDC, CAASIP, CAATVP",40,0
"CAAAR, CAAGACTM, CAANSPS, CAANSR, CAASIP, CAATVP",39,0
"CAAFESOP, CAANSPS, CAANSR",39,0
"CAAGACTM, CAAMACT, CAANESH, CAANSPS, CAATVP",39,0
"CAAGACTM, CAAPSD, CAASIP, CAATVP",39,0
"CAAPARGDC, CAARMP",39,0
"CAAFESOP, CAAMACT, CAAPSD, CAASIP, CAATVP",38,0
"CAAGACTM, CAAMACT, CAAPSD, CAASIP, CAATVP",38,0
"CAANFRP, CAANSR, CAAOTH",38,0
"CAACFC, CAANSPS, CAASIP",37,0
"CAAFESOP, CAAGACTM, CAANSPSM",37,0
"CAAFIP, CAAOP",37,0
"CAAGACTM, CAAMACT, CAANSPS, CAAPSD, CAASIP",37,0
CAATIP,37,0
"CAACFC, CAAGHG, CAAMACT, CAAPARGDC, CAASIP, CAATVP",36,0
"CAAFESOP, CAAPSD, CAASIP, CAATVP",36,0
"CAANESH, CAANSPSM, CAASIP",36,0
"CAAFIP, CAASIP, CAATVP",35,0
"CAANSPS, CAANSPSM",35,0
"CAAFESOP, CAAMACT, CAANSPS, CAAPSD, CAASIP, CAATVP",34,0
"CAAGACTM, CAAMACT, CAANESH, CAANSPS, CAAPSD, CAASIP, CAATVP",34,0
"CAAMACT, CAANSPS, CAAOTH, CAATVP",34,0
"CAASIP, CAASO",34,0
"CAAFESOP, CAANSPSM, CAANSR",33,0
"CAAMACT, CAANESH, CAANSR, CAAPSD, CAASIP, CAATVP",33,0
"CAAAR, CAAGHG, CAAMACT, CAANSPS, CAASIP, CAATVP",32,0
"CAAMACT, CAANSR",32,0
"CAAMACT, CAARMP, CAASIP",32,0
"CAANSPS, CAANSPSM, CAASIP",31,0
"CAACFC, CAAGHG, CAAMACT, CAANSPS, CAANSR, CAAPARGDC, CAASIP, CAATVP",30,0
"CAAFESOP, CAAMACT, CAANSR, CAASIP, CAATVP",30,0
"CAAGACTM, CAANESH, CAATVP",30,0
"CAAMACT, CAANFRP, CAASIP",30,0
"CAAAR, CAANSPS, CAANSR, CAASIP",29,0
"CAAAR, CAAPSD, CAASIP",29,0
"CAACFC, CAAGACTM, CAANSPS, CAAOTH, CAASIP, CAATVP",29,0
"CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAASIP, CAATVP",29,0
"CAAGACTM, CAAOTH",29,0
"CAAMACT, CAANESH, CAANSR, CAATVP",29,0
"CAAMACT, CAANSPS, CAAOTH, CAAPSD, CAASIP, CAATVP",29,0
"CAANFRP, CAANSPSM, CAANSR, CAAOTH, CAASIP",29,0
"CAACFC, CAAGACTM, CAANSPS, CAASIP",28,0
"CAACFC, CAANSPS, CAASIP, CAATVP",28,0
"CAAMACT, CAANSR, CAAPSD, CAASIP",28,0
"CAANSPS, CAAOTH",28,0
"CAAAR, CAAGHG, CAAMACT, CAANSPS, CAANSR, CAAPSD, CAASIP, CAATVP",27,0
"CAAAR, CAATVP",27,0
"CAACFC, CAAGACTM, CAANESH, CAANSPS, CAAPARGDC, CAASIP, CAATVP",27,0
"CAAFIP, CAAMACT, CAAOP",27,0
"CAAGACTM, CAAMACT, CAANSPS, CAAPARGDC, CAASIP",27,0
"CAANESH, CAAOP",27,0
"CAAAR, CAAFESOP, CAASIP",26,0
"CAACFC, CAAMACT, CAANSR, CAAOTH, CAASIP, CAATVP",26,0
"CAACFC, CAAMACT, CAASIP",26,0
"CAAFESOP, CAANSPSM, CAAOTH",26,0
"CAAGACTM, CAAMACT, CAANSPS, CAANSR, CAATVP",26,0
"CAANESH, CAANSR",26,0
"CAAFESOP, CAAMACT, CAANSPSM, CAASIP",25,0
"CAAFESOP, CAAOTH, CAASIP",25,0
"CAAMACT, CAAPSD, CAARMP, CAASIP, CAATVP",25,0
"CAANAM, CAANSPS, CAATIP",25,0
"CAANSPS, CAAOP, CAASIP",25,0
"CAANSPS, CAARMP, CAASIP, CAATVP",25,0
"CAAAR, CAAMACT, CAANSPS, CAAOTH, CAAPSD, CAATVP",24,0
"CAACFC, CAAGACTM, CAAMACT, CAANESH, CAANSPS, CAASIP, CAATVP",24,0
"CAACFC, CAAGACTM, CAAMACT, CAASIP",24,0
"CAACFC, CAAMACT, CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",24,0
"CAANSR, CAAPSD, CAATVP",24,0
"CAAOTH, CAATVP",24,0
"CAAAR, CAACFC, CAAMACT, CAANSPS, CAANSR, CAAOTH, CAASIP, CAATVP",23,0
"CAAGACTM, CAANESH, CAANSPS, CAASIP",23,0
"CAANSPS, CAAOP",23,0
"CAAAR, CAAGACTM, CAANSPS, CAANSR, CAATVP",22,0
"CAACFC, CAAMACT, CAATVP",22,0
"CAAFIP, CAAMACT, CAANSPS, CAAOP",22,0
"CAAFIP, CAAMACT, CAANSPS, CAASIP, CAATVP",22,0
"CAAFIP, CAANSPS",22,0
"CAAGACTM, CAAMACT, CAANSPS",22,0
"CAAGHG, CAAMACT, CAANSPS, CAASIP",22,0
"CAAMACT, CAANSPS, CAAOTH, CAASIP",22,0
"CAAMACT, CAAPSD",22,0
"CAARMP, CAASIP, CAATVP",22,0
"CAAAR, CAAGACTM, CAANSR, CAATVP",21,0
"CAAFIP, CAAMACT",21,0
"CAAIRM, CAAMACT",21,0
"CAAMACT, CAANESH, CAANSPS, CAARMP, CAASIP, CAATVP",21,0
"CAANSPS, CAANSR, CAATVP",21,0
"CAACFC, CAAGHG, CAANESH, CAANSPS, CAASIP",20,0
"CAACFC, CAANESH, CAANSPS, CAANSR, CAAPARGDC, CAAPSD, CAASIP, CAATVP",20,0
"CAAFESOP, CAANSPS, CAANSR, CAASIP, CAATVP",20,0
"CAAMACT, CAANSPS, CAAOP, CAATVP",20,0
"CAANESH, CAARMP, CAASIP",20,0
