ACTIVITY_ID,n
3400307707,2
3400307709,2
3400307711,2
3400307713,2
3400307716,2
3400307718,2
3400307720,2
3400307722,2
3400307726,2
3400307728,2
3400307729,2
3400307731,2
3400307733,2
3400307735,2
3400307737,2
3400307741,2
3400307743,2
3400307751,2
3400307752,2
3400307755,2
3400307756,2
3400307775,2
3400307777,2
3400307779,2
3400307780,2
3400307782,2
3400307784,2
3400307786,2
3400307788,2
3400307789,2
3400307791,2
3400307810,2
3400307812,2
3400307814,2
3400307820,2
3400307822,2
3400307824,2
3400307829,2
3400307833,2
3400307836,2
3400307838,2
3400307860,2
3400307862,2
3400307870,2
3400307872,2
3400307876,2
3400307878,2
3400307880,2
3400307882,2
3400307889,2
3400307891,2
3400307892,2
3400307894,2
3400307901,2
3400307902,2
3400307904,2
3400307906,2
3400307908,2
3400307919,2
3400307921,2
3400307923,2
3400307953,2
3400307955,2
3400307957,2
3400307959,2
3400307961,2
3400307963,2
3400307964,2
3400307966,2
3400307968,2
3400307970,2
3400307981,2
3400307984,2
3400307986,2
3400307988,2
3400307998,2
3400308000,2
3400308002,2
3400308004,2
3400308006,2
3400308008,2
3400308009,2
3400308011,2
3400308044,2
3400308048,2
3400308049,2
3400308051,2
3400308059,2
3400308062,2
3400308064,2
3400308068,2
3400308070,2
3400308078,2
3400308080,2
3400308082,2
3400308084,2
3400308086,2
3400308087,2
3400308089,2
3400308091,2
3400308093,2
3400308095,2
3400308097,2
3400308130,2
3400308132,2
3400308133,2
3400308135,2
3400308137,2
3400308141,2
3400308146,2
3400308147,2
3400308151,2
3400308163,2
3400308165,2
3400308167,2
3400308168,2
3400308170,2
3400308174,2
3400308176,2
3400308178,2
3400308179,2
3400308180,2
3400308186,2
3400308187,2
3400308188,2
3400308190,2
3400308216,2
3400308218,2
3400308220,2
3400308222,2
3400308224,2
3400308225,2
3400308227,2
3400308236,2
3400308238,2
3400308246,2
3400308247,2
3400308253,2
3400308255,2
3400308257,2
3400308258,2
3400308267,2
3400308269,2
3400308272,2
3400308280,2
3400308282,2
3400308293,2
3400308311,2
3400308313,2
3400308315,2
3400308317,2
3400308319,2
3400308321,2
3400308322,2
3400308324,2
3400308327,2
3400308328,2
3400308330,2
3400308332,2
3400308334,2
3400308349,2
3400308353,2
3400308354,2
3400308356,2
3400308363,2
3400308365,2
3400308392,2
3400308394,2
3400308396,2
3400308398,2
3400308400,2
3400308409,2
3400308411,2
3400308413,2
3400308420,2
3400308423,2
3400308425,2
3400308427,2
3400308433,2
3400308437,2
3400308442,2
3400308444,2
3400308446,2
3400308447,2
3400308449,2
3400308453,2
3400308455,2
3400308457,2
3400308478,2
3400308480,2
3400308482,2
3400308484,2
3400308486,2
3400308491,2
3400308502,2
3400308505,2
3400308507,2
3400308510,2
3400308521,2
3400308525,2
3400308527,2
3400308529,2
3400308531,2
3400308538,2
3400308540,2
3400308542,2
3400308547,2
3400308566,2
3400308572,2
3400308574,2
3400308576,2
3400308579,2
3400308581,2
3400308582,2
3400308584,2
3400308586,2
3400308588,2
3400308621,2
3400308623,2
3400308625,2
3400308627,2
3400308629,2
3400308631,2
3400308632,2
3400308634,2
3400308663,2
3400308665,2
3400308667,2
3400308670,2
3400308672,2
3400308674,2
3400308676,2
3400308677,2
3400308685,2
3400308687,2
3400308692,2
3400308694,2
3400308696,2
3400308698,2
3400308700,2
3400308702,2
3400308704,2
3400308709,2
3400308711,2
3400308713,2
3400308715,2
3400308717,2
3400308718,2
3400308720,2
3400308722,2
3400308724,2
3400308738,2
3400308754,2
3400308767,2
3400308781,2
3400308783,2
3400308785,2
3400308793,2
3400308795,2
3400308797,2
3400308799,2
3400308801,2
3400308813,2
3400308817,2
3400308818,2
3400308820,2
3400308822,2
3400308825,2
3400308827,2
3400308828,2
3400308830,2
3400308831,2
3400308832,2
3400308833,2
3400308891,2
3400308893,2
3400308895,2
3400308896,2
3400308898,2
3400308900,2
